map,episodes,max_steps,alpha,gamma,avg_return,success_rate,avg_steps
maps/map1.bmp,10,10,0.1,0.8,-37.0,0.0,
maps/map1.bmp,10,10,0.1,0.99,-37.0,0.0,
maps/map1.bmp,10,10,0.01,0.8,-27.0,0.0,
maps/map1.bmp,10,10,0.01,0.99,-27.0,0.0,
maps/map1.bmp,50,50,0.1,0.8,-131.0,0.0,
maps/map1.bmp,50,50,0.1,0.99,-36.0,0.0,
maps/map1.bmp,50,50,0.01,0.8,-34.0,0.0,
maps/map1.bmp,50,50,0.01,0.99,-36.0,0.0,
maps/map1.bmp,57,57,0.1,0.8,-48.0,0.0,
maps/map1.bmp,57,57,0.1,0.99,-42.0,0.0,
maps/map1.bmp,57,57,0.01,0.8,-42.0,0.0,
maps/map1.bmp,57,57,0.01,0.99,100.0,1.0,18.0
maps/map1.bmp,100,100,0.1,0.8,100.0,1.0,18.0
maps/map1.bmp,100,100,0.1,0.99,100.0,1.0,18.0
maps/map1.bmp,100,100,0.01,0.8,100.0,1.0,18.0
maps/map1.bmp,100,100,0.01,0.99,100.0,1.0,18.0
maps/map2.bmp,10,10,0.1,0.8,-37.0,0.0,
maps/map2.bmp,10,10,0.1,0.99,-32.0,0.0,
maps/map2.bmp,10,10,0.01,0.8,-32.0,0.0,
maps/map2.bmp,10,10,0.01,0.99,-32.0,0.0,
maps/map2.bmp,50,50,0.1,0.8,-36.0,0.0,
maps/map2.bmp,50,50,0.1,0.99,-36.0,0.0,
maps/map2.bmp,50,50,0.01,0.8,-38.0,0.0,
maps/map2.bmp,50,50,0.01,0.99,-42.0,0.0,
maps/map2.bmp,57,57,0.1,0.8,-40.0,0.0,
maps/map2.bmp,57,57,0.1,0.99,100.0,1.0,18.0
maps/map2.bmp,57,57,0.01,0.8,100.0,1.0,18.0
maps/map2.bmp,57,57,0.01,0.99,-52.0,0.0,
maps/map2.bmp,100,100,0.1,0.8,100.0,1.0,18.0
maps/map2.bmp,100,100,0.1,0.99,100.0,1.0,18.0
maps/map2.bmp,100,100,0.01,0.8,100.0,1.0,18.0
maps/map2.bmp,100,100,0.01,0.99,100.0,1.0,18.0
